Lat,Long,W4568d,W1010d,W4579d,W4584d,W4595d,W4621d,W4623d,W4642d,W4623d,W4643d,W1010_S,W4568_S,W4579_S,W4584_S,W4589_S,W4595_S,W4621_S,W4623_S,W4642_S,W4643_S,W1010y ,W4568y,W4579Y,W4584y,W4589y,W4595y,W4621y,W4623y,W4642y,W4643y
41.8433537,87.7241949,8.714952428,0.826369475,4.127457766,4.341682629,2.256342482,5.787573222,0.326337107,33.81137752,0.355329689,4.115537575,37,18,37,2,0,55,4,903,30,2,0,0,0,0,0,0,0,1,0,0
41.6932669,87.7417303,8.583313329,0.741704399,4.052239432,4.382997084,2.345934149,5.643070187,0.378586129,33.77892137,0.489400206,3.992623306,41,18,37,2,0,55,4,923,31,2,0,0,0,0,0,0,0,1,0,0
42.0229876,88.1430833,9.046800203,0.677839639,4.570645009,4.736450622,2.565650212,6.050002558,0.141200098,33.41376885,0.298027191,3.995112803,35,14,16,2,0,22,4,912,26,2,0,0,0,0,0,0,0,1,0,0
42.2244324,87.8720068,9.123593513,0.987456196,4.481508545,4.451166718,2.243737191,6.189191768,0.341568792,33.70557965,0.062164548,4.317607261,30,18,20,2,0,45,4,894,28,2,0,0,0,0,0,0,0,1,0,0
41.5980938,87.5650762,8.427639799,0.881841512,3.853281038,4.227735338,2.250784003,5.519341489,0.577336686,33.94560245,0.646490635,4.047678341,41,18,48,2,0,63,4,915,31,2,0,0,0,0,0,0,0,1,0,0
43.398231,84.6626242,9.610475142,4.257667877,4.069305609,1.547464754,1.178990295,7.535178458,3.683669274,37.03635178,3.446307222,7.418414869,8,3,3,320,1,257,1,11,38,0,0,0,0,0,0,1,0,0,0,0
40.2597004,85.8432649,6.629426709,2.826060274,1.675189578,3.27178066,2.651020633,4.203680755,2.757457403,35.56461002,2.78736749,4.849782494,9,5,342,2,0,52,7,36,9,1,0,0,1,0,0,0,0,0,0,0
40.5213583,85.6771968,6.851812116,2.887917893,1.709538325,2.973811925,2.387857042,4.495203861,2.74894114,35.74510518,2.746995817,5.09218816,6,5,330,2,0,86,2,33,10,1,0,0,1,0,0,0,0,0,0,0
42.4328508,83.6480157,8.672966034,4.88683522,3.199465267,0.223101198,2.140597324,6.991916551,4.420709896,37.92683582,4.240462837,7.733726378,6,2,4,492,1,94,1,12,26,0,0,0,0,1,0,0,0,0,0,0
42.1257847,89.25827,9.652100257,1.099723664,5.56256765,5.840787326,3.609075036,6.501319433,1.234731086,32.31715109,1.378897326,3.56689228,39,13,12,2,0,8,2,876,25,2,0,0,0,0,0,0,0,1,0,0
