Store ID,ADDRESS,ADDRESS 2,CITY,WAREHOUSEID,STATE and PIN,Lat,Long
100001937,,14407 S PIONEER BLVD ,NORWALK,XXXXX,CA,33.9000128,118.0829133
100030265,,14441 INGLEWOOD AVE ,HAWTHORNE,XXXXX,CA,33.9001875,118.3623568
140033672,,1570 ROSECRANS AVE ,MANHATTAN BEACH,XXXXX,CA,33.9003509,118.3848828
140045384,,3930 W ROSECRANS BLVD ,HAWTHORNE,XXXXX,CA,33.9004334,118.3430901
140002432,,14601 LAKEWOOD BLVD ,PARAMOUNT,XXXXX,CA,33.900807,118.1451931
140031059,,1290 HAMNER AVE ,NORCO,XXXXX,CA,33.9011217,117.5648098
200095154,,15150 6TH ST ,RIVERSIDE,XXXXX,CA,33.9014847,117.2450143
140002796,,1900 W ROSECRANS AVE ,COMPTON,XXXXX,CA,33.9016692,118.3116544
140029486,,14501 LAKEWOOD BLVD ,PARAMOUNT,XXXXX,CA,33.9023965,118.1453358
140136036,,14201 S FIGUEROA ST ,LOS ANGELES,XXXXX,CA,33.9026107,118.283267
140026492,,14201 S FIGUEROA ,LOS ANGELES,XXXXX,CA,33.9026107,118.283267
140003416,,11541 ROSECRANS AVE ,NORWALK,XXXXX,CA,33.9026202,118.0873031
140006476,,3840 LA SIERRA AVE ,RIVERSIDE,XXXXX,CA,33.904136,117.478596
140037476,,13525 LAKEWOOD BLVD ,DOWNEY,XXXXX,CA,33.9051963,118.1443602
140001722,,1111 E IMPERIAL HWY ,PLACENTIA,XXXXX,CA,33.9058121,117.8434547
100025435,,13771 GRAMERCY PL ,GARDENA,XXXXX,CA,33.9063022,118.3142772
140011671,,3520 TYLER ST ,RIVERSIDE,XXXXX,CA,33.9064564,117.45986
140033073,,1800 N LONG BEACH BLVD ,COMPTON,XXXXX,CA,33.9079122,118.207796
100003275,,13658 HAWTHORNE BLVD ,HAWTHORNE,XXXXX,CA,33.9079449,118.3519932
140002527,,2975 VAN BUREN BLVD ,RIVERSIDE,XXXXX,CA,33.9092563,117.4352303
100086412,,2100 N LONG BEACH BLVD ,COMPTON,XXXXX,CA,33.9100083,118.2081623
140002439,,2500 E IMPERIAL HWY STE 158 ,BREA,XXXXX,CA,33.9105696,117.8700159
140047633,,14425 MORENO BEACH DR ,MORENO VALLEY,XXXXX,CA,33.9114124,117.175609
140033655,,2595 E IMPERIAL HWY ,BREA,XXXXX,CA,33.9133682,117.865291
140046252,,11660 FIRESTONE BLVD ,NORWALK,XXXXX,CA,33.9134216,118.0847498
140010238,,13120 DOWNEY AVE ,PARAMOUNT,XXXXX,CA,33.9140188,118.151491
140003402,,315 E ALESSANDRO BLVD ,RIVERSIDE,XXXXX,CA,33.9140783,117.3276158
140038690,,1340 S BEACH BLVD ,LA HABRA,XXXXX,CA,33.9149135,117.9660867
100094686,,2430 RIVER RD ,NORCO,XXXXX,CA,33.9151392,117.5906092
140001721,,12800 LA MIRADA BLVD ,LA MIRADA,XXXXX,CA,33.9155899,118.0106491
140040699,,24899 ALESSANDRO BLVD ,MORENO VALLEY,XXXXX,CA,33.915925,117.2277432
140047278,,1000 W IMPERIAL HWY ,LA HABRA,XXXXX,CA,33.9160252,117.9566738
140016660,,1000 E IMPERIAL HWY ,LA HABRA,XXXXX,CA,33.9161339,117.9349689
100025231,,1000 E IMPERIAL HWY ,LA HABRA,XXXXX,CA,33.9161339,117.9349689
140006478,,12721 VALLEY VIEW AVE ,LA MIRADA,XXXXX,CA,33.9161341,118.0305933
140001774,,4680 LA SIERRA AVE ,RIVERSIDE,XXXXX,CA,33.9162227,117.4877085
140034148,,250 N LN BREA ,INGLEWOOD,XXXXX,CA,33.916475,117.9002918
140005110,,4039 TYLER ST ,RIVERSIDE,XXXXX,CA,33.9168701,117.4649529
140004998,,1125 E EL SEGUNDO BLVD ,LOS ANGELES,XXXXX,CA,33.9169304,118.2547764
100004638,,12624 DAPHNE AVE ,HAWTHORNE,XXXXX,CA,33.9175413,118.3192707
140002417,,12630 HAWTHORNE BLVD ,HAWTHORNE,XXXXX,CA,33.9177221,118.3512407
140005020,,391 E IMPERIAL HWY ,LA HABRA,XXXXX,CA,33.9177796,117.9415132
140001743,,11300 FIRESTONE BLVD ,NORWALK,XXXXX,CA,33.9179681,118.0930645
