Distance,DriverScore,LoaderScore,AssemblerScore,0 to 7,8 to 20,21 to 23,Time
105.1896482,86.28571429,46.35714286,54.64285714,0,0,1,5
1082.321124,88.21428571,1057.285714,1081.857143,1,0,0,32
46.90467188,90.78571429,2853,2849.785714,1,0,0,3
703.5530086,65.07142857,405.8571429,370.3571429,1,0,0,16
321.0537882,37.42857143,2266,2280,1,0,0,8
446.7298189,95.92857143,2377.214286,2480.857143,1,0,0,14
120.7050474,74.07142857,2852.5,2849.285714,1,0,0,4
82.19336487,76.64285714,2852,2848.785714,0,0,1,3
118.6972424,70.85714286,2376.214286,2479.857143,1,0,0,5
145.9250356,93.21428571,2265.5,2279.5,1,0,0,6
54.56433916,92.07142857,2851,2847.785714,1,0,0,3
1625.090374,56.07142857,2264.5,2278.5,1,0,0,49
108.9210576,90.14285714,2375.714286,2479.357143,1,0,0,4
102.9324387,84.5,2375.214286,2478.857143,1,0,0,3
139.3763265,95.28571429,363,347.7142857,1,0,0,5
127.3356267,66.35714286,63.78571429,54.14285714,1,0,0,4
1283.426397,92.71428571,2264,2278,0,0,1,25
1056.135799,98.5,2263,2277,0,0,1,24
297.9717639,87.57142857,300,347.2142857,1,0,0,7
222.3949233,86.92857143,752.7142857,484.8571429,1,0,0,8
72.5620243,95.92857143,90.78571429,2477.357143,1,0,0,3
67.54085587,16.42857143,299.5,346.7142857,1,0,0,3
492.2030899,76.64285714,179.1428571,187.5,1,0,0,12
116.4401933,90.28571429,405.3571429,369.8571429,1,0,0,4
383.8104563,75.21428571,2262.5,2276.5,1,0,0,8
57.7377112,94,2373.714286,2476.857143,1,0,0,3
83.77061844,60.42857143,162.2142857,103.9285714,1,0,0,4
111.1409841,56.57142857,2373.214286,2476.357143,1,0,0,4
262.8353976,63.28571429,751.7142857,480.4285714,1,0,0,6
139.8896373,9.785714286,161.7142857,172.7857143,1,0,0,6
68.08188074,74.71428571,2849.5,2846.285714,1,0,0,3
248.6430215,61.85714286,2849,2845.785714,1,0,0,10
210.3813984,80.5,327,180.1428571,1,0,0,8
137.0774736,88.85714286,1056.785714,1081.357143,1,0,0,5
101.3102988,85.64285714,2371.214286,2474.357143,1,0,0,3
168.1936793,41.78571429,41.92857143,50.07142857,1,0,0,5
69.61804299,89,2848.5,2845.285714,1,0,0,3
83.68435604,81.14285714,2261.5,2275.5,0,0,1,3
116.6357209,102.3571429,178.6428571,187,1,0,0,4
72.06956756,64.57142857,2261,2275,1,0,0,3
558.3717069,95.28571429,154.7142857,129,1,0,0,11
102.3631261,88.85714286,28.92857143,48,1,0,0,4
87.62722621,86.28571429,14.28571429,61.21428571,1,0,0,4
114.7421125,101.0714286,2260,2274,1,0,0,5
569.8942935,72.78571429,97.07142857,172.2857143,1,0,0,20
1124.241283,70.21428571,2847,2843.785714,1,0,0,24
671.6198717,80.5,2846,2842.785714,1,0,0,14
731.5645269,47.21428571,2259,2273,1,0,0,20
832.7881433,94.78571429,154.2142857,128.5,1,0,0,26
219.470699,88.35714286,1056.285714,1080.857143,1,0,0,8
910.3728883,81.78571429,49.28571429,62.35714286,1,0,0,31
1782.330958,84.5,2258.5,2272.5,0,0,1,47
84.51117288,59.92857143,88.21428571,61.85714286,1,0,0,3
68.13773346,72.28571429,2370.214286,2473.357143,1,0,0,3
517.9021142,40.14285714,212.7857143,102.6428571,1,0,0,10
195.8004607,84.35714286,1055.785714,1080.357143,1,0,0,6
134.0487632,80.64285714,164.5,137.8571429,1,0,0,5
96.48755738,91.57142857,2369.214286,2472.357143,1,0,0,3
89.90012232,0.928571429,76.14285714,64.42857143,1,0,0,4
378.2649447,89.64285714,2367.714286,2470.857143,1,0,0,12
1371.084669,76.14285714,2844.5,2841.285714,1,0,0,26
95.80605964,101.3571429,2257.5,2271.5,1,0,0,4
155.260053,54.92857143,748.2142857,481.8571429,1,0,0,7
339.5244455,100.5714286,2256.5,2270.5,1,0,0,9
70.84542496,95.42857143,90.28571429,2469.357143,1,0,0,3
101.9784537,70.21428571,2843.5,2840.285714,1,0,0,5
156.3852007,29.71428571,1054.785714,1079.357143,1,0,0,4
102.799849,86.42857143,277.9285714,136.4285714,1,0,0,3
760.7766593,58,87.71428571,171.2857143,1,0,0,18
115.1631894,62,2366.214286,2468.857143,1,0,0,4
73.59475522,87.71428571,2842.5,2839.285714,1,0,0,3
697.0703851,74.85714286,2842,2838.785714,1,0,0,19
161.3822156,109.0714286,100.8571429,21.21428571,1,0,0,6
199.7750315,72.28571429,747.2142857,480.8571429,1,0,0,8
142.2671438,67.14285714,1054.285714,1078.857143,0,1,0,5
632.4111239,92.57142857,325,178.6428571,1,0,0,14
71.72207126,98,2365.714286,2468.357143,1,0,0,3
583.6083929,48.85714286,87.21428571,51.07142857,1,0,0,14
128.6690556,73.42857143,2365.214286,2467.857143,1,0,0,4
84.05042994,74.21428571,2840.5,2837.285714,1,0,0,4
1263.81714,62,68.42857143,152.1428571,1,0,0,23
1650.558294,69.07142857,45.85714286,37.85714286,0,0,1,38
